'date','price','open','high','low','change'
"Mar 16, 2017",0.7678,0.7706,0.7718,0.7658,-0.42%
"Mar 15, 2017",0.7710,0.7559,0.7722,0.7551,1.98%
"Mar 14, 2017",0.7560,0.7570,0.7581,0.7537,-0.15%
"Mar 13, 2017",0.7571,0.7542,0.7595,0.7527,0.38%
"Mar 10, 2017",0.7542,0.7505,0.7558,0.7494,0.48%
"Mar 09, 2017",0.7506,0.7526,0.7536,0.7488,-0.28%
"Mar 08, 2017",0.7527,0.7585,0.7609,0.7520,-0.80%
"Mar 07, 2017",0.7588,0.7577,0.7636,0.7573,0.12%
"Mar 06, 2017",0.7579,0.7579,0.7612,0.7566,-0.21%
"Mar 03, 2017",0.7595,0.7569,0.7599,0.7540,0.30%
"Mar 02, 2017",0.7572,0.7673,0.7683,0.7552,-1.35%
"Mar 01, 2017",0.7676,0.7656,0.7701,0.7633,0.24%
"Feb 28, 2017",0.7658,0.7671,0.7695,0.7641,-0.20%
"Feb 27, 2017",0.7673,0.7666,0.7710,0.7659,-0.01%
"Feb 24, 2017",0.7674,0.7713,0.7725,0.7661,-0.53%
"Feb 23, 2017",0.7715,0.7700,0.7743,0.7662,0.16%
"Feb 22, 2017",0.7703,0.7674,0.7715,0.7664,0.36%
"Feb 21, 2017",0.7675,0.7683,0.7691,0.7645,-0.18%
"Feb 20, 2017",0.7689,0.7661,0.7694,0.7654,0.23%
"Feb 17, 2017",0.7671,0.7692,0.7714,0.7651,-0.30%
